DB	NAME	DATA_TYPE
database	Database_email	scalar
database	Database_institute	scalar
database	Database_name		scalar
database	Database_ref		scalar
database	Database_web_link	scalar
platform	Platform_catalog_number	array
platform	Platform_contributor	array
platform	Platform_contributor	array
platform	Platform_description	array
platform	Platform_organism	array
platform	Platform_pubmed_id	array
platform	Platform_web_link	array
platform	Platform_coating	scalar
platform	Platform_contact_address	scalar
platform	Platform_contact_city		scalar
platform	Platform_contact_country	scalar
platform	Platform_contact_department	scalar
platform	Platform_contact_email		scalar
platform	Platform_contact_fax		scalar
platform	Platform_contact_institute	scalar
platform	Platform_contact_name		scalar
platform	Platform_contact_phone		scalar
platform	Platform_contact_web_link	scalar
platform	Platform_contact_zip_postal_code	scalar
platform	Platform_data_row_count			scalar
platform	Platform_distribution			scalar
platform	Platform_geo_accession			scalar
platform	Platform_last_update_date		scalar
platform	Platform_manufacture_protocol		scalar
platform	Platform_manufacturer			scalar
platform	Platform_row_count			scalar
platform	Platform_status				scalar
platform	Platform_submission_date		scalar
platform	Platform_support			scalar
platform	Platform_technology			scalar
platform	Platform_title				scalar
sample		Sample_description			array
sample		Sample_hyb_protocol			array
sample		Sample_scan_protocol			array
sample		Sample_series_id			array
sample		Sample_biomaterial_provider_ch		hash
sample		Sample_characteristics_ch		hash
sample		Sample_extract_protocol_ch		hash
sample		Sample_growth_protocol_ch		hash
sample		Sample_label_ch				hash
sample		Sample_label_protocol_ch		hash
sample		Sample_molecule_ch			hash
sample		Sample_organism_ch			hash
sample		Sample_source_name_ch			hash
sample		Sample_treatment_protocol_ch		hash
sample		Sample_anchor				scalar
sample		Sample_channel_count			scalar
sample		Sample_contact_address			scalar
sample		Sample_contact_city			scalar
sample		Sample_contact_country			scalar
sample		Sample_contact_department		scalar
sample		Sample_contact_email			scalar
sample		Sample_contact_fax			scalar
sample		Sample_contact_institute		scalar
sample		Sample_contact_laboratory		scalar
sample		Sample_contact_name			scalar
sample		Sample_contact_phone			scalar
sample		Sample_contact_state			scalar
sample		Sample_contact_web_link			scalar
sample		Sample_contact_zip_postal_code		scalar
sample		Sample_data_processing			scalar
sample		Sample_data_row_count			scalar
sample		Sample_geo_accession			scalar
sample		Sample_last_update_date			scalar
sample		Sample_platform_id			scalar
sample		Sample_row_count			scalar
sample		Sample_status				scalar
sample		Sample_submission_date			scalar
sample		Sample_supplementary_file		scalar
sample		Sample_tag_count			scalar
sample		Sample_tag_length			scalar
sample		Sample_title				scalar
sample		Sample_type				scalar
series		Series_contributor			array
series		Series_overall_design			array
series		Series_platform_id			array
series		Series_pubmed_id			array
series		Series_sample_id			array
series		Series_summary				array
series		Series_supplementary_file		array
series		Series_type				array
series		Series_web_link				array
series		Series_repeats_				hash
series		Series_repeats_sample_list_		hash
series		Series_variable_			hash
series		Series_variable_description_		hash
series		Series_variable_sample_list_		hash
series		Series_contact_address			scalar
series		Series_contact_city			scalar
series		Series_contact_country			scalar
series		Series_contact_department		scalar
series		Series_contact_email			scalar
series		Series_contact_fax			scalar
series		Series_contact_institute		scalar
series		Series_contact_laboratory		scalar
series		Series_contact_name			scalar
series		Series_contact_phone			scalar
series		Series_contact_state			scalar
series		Series_contact_web_link			scalar
series		Series_contact_zip_postal_code		scalar
series		Series_geo_accession			scalar
series		Series_last_update_date			scalar
series		Series_row_count			scalar
series		Series_status				scalar
series		Series_submission_date			scalar
series		Series_title				scalar
